date,name,category
0034-01-01,Stephen the first Christian martyr stoned in Jerusalem
0040-01-01,Our Lady of the Pillar appears to James the Great in Spain
0046-01-01,Paul begins missionary journeys with Barnabas
0050-01-01,Council of Jerusalem - Gentiles exempt from Mosaic Law
0050-01-01,📖 Paul's seven undisputed epistles written (50-58),gospel
0052-01-01,Thomas the Apostle arrives in Kerala - founding of Syro-Malabar Catholic Church
0064-01-01,Neronian Persecution begins after Great Fire of Rome - Martyrdom of Peter
0067-01-01,Martyrdom of Paul outside Rome - Pope Linus succeeds him
0068-01-01,Neronian Persecution ends with suicide of Nero
0070-01-01,Fall of Jerusalem and destruction of the Temple
0070-01-01,📖 Gospel of Mark completed (earliest possible date),gospel
0072-01-01,Martyrdom of Thomas the Apostle at Mylapore
0076-01-01,Martyrdom of Pope Linus
0080-01-01,📖 Gospel of Matthew completed,gospel
0080-01-01,📖 Gospel of Luke and Acts of the Apostles completed,gospel
0090-01-01,Persecution of Christians under Emperor Domitian (90-96)
0095-01-01,📖 Book of Revelation written,gospel
0096-01-01,📖 First Epistle of Clement written to the church in Corinth,gospel
0100-01-01,📖 Gospel of John completed,gospel
0100-01-01,John the last apostle dies in Ephesus
0110-01-01,Ignatius of Antioch coins the term Catholic Church
0150-01-01,📖 Latin translations (Vetus Latina) of Scripture circulated,gospel
0154-01-01,Teachings of Marcion and Valentinus disrupt the Roman community
0155-01-01,📖 Justin Martyr composes his First Apology in Rome,gospel
0156-01-01,Polycarp bishop of Smyrna and disciple of John is martyred
0177-01-01,Irenaeus becomes bishop of Lyon France
0180-01-01,📖 Irenaeus writes Adversus Haereses against Gnostic teachings,gospel
0195-01-01,Pope Victor I excommunicates the Quartodecimans in Easter controversy
0200-01-01,Tertullian coins Latin terms Trinitas and Sacramentum
0248-01-01,📖 Origen writes Contra Celsum,gospel
0249-01-01,Pope Fabian sends seven bishops from Rome to Gaul
0250-01-01,Emperor Decius persecutes Christians - Pope Fabian martyred
0312-01-01,Constantine wins Battle of Milvian Bridge under Chi-Rho symbol of Christ
